device,language,algorithm,size,mean,std,min,max
M1,javascript,heap_sort,1000,1.90084377617836,0.2184932042504954,1.5808651642799376,2.3298560485839843
M1,javascript,heap_sort,10000,2.137047289943695,0.20549513142056894,1.8464491996765136,2.3924617252349853
M1,javascript,heap_sort,20000,2.2034522715568543,0.2864532403820577,1.861064329147339,2.6928501892089844
M1,javascript,heap_sort,50000,2.216169545030594,0.37247457005635715,1.6711458926200866,2.6141174297332763
M1,javascript,heap_sort,100000,1.9353684455871583,0.19812086535317372,1.7893001728057862,2.4466061353683473
M1,javascript,heap_sort,125000,2.268110717868805,0.23432243743744127,1.9000787324905395,2.582804509162903
M1,javascript,heap_sort,250000,2.043034924221039,0.21887133559814861,1.7647853536605835,2.345204504013061
M1,javascript,heap_sort,1000000,3.772658915233612,0.28693073067592295,3.1366701822280882,4.148272178649902
M1,javascript,heap_sort,4000000,14.388784369945526,1.399718229528749,12.232397922515869,17.024664782524113
M1,javascript,merge_sort,1000,2.9575959664344786,0.25001964678649585,2.680679313659667,3.302083917617798
M1,javascript,merge_sort,10000,2.348579680156708,0.2438066493238515,2.115750449180603,2.8565581321716307
M1,javascript,merge_sort,20000,2.3167459936141968,0.10144916811433728,2.231918746948242,2.5119848060607906
M1,javascript,merge_sort,50000,2.122945027208328,0.5140288741924889,1.6350646691322326,3.4737500953674316
M1,javascript,merge_sort,100000,2.287951254272461,0.13876249106507363,2.1748263549804685,2.5036193275451657
M1,javascript,merge_sort,125000,2.348841442966461,0.1891178557344917,2.1833018798828125,2.7441143236160275
M1,javascript,merge_sort,250000,2.382834991550445,0.22041642305829762,2.1736569404602046,2.891036794662475
M1,javascript,merge_sort,1000000,4.860030690670014,0.43020034767583465,4.406805676460266,5.705088386535643
M1,javascript,merge_sort,4000000,14.900787645053862,1.9306988299900618,12.627109426498413,19.956463292121885
M1,javascript,quick_sort,1000,1.9626278277397156,0.20280042798531026,1.7825576877593994,2.455422109603882
M1,javascript,quick_sort,10000,2.087567661380768,0.42672804825628974,1.776932258605957,3.171779941558838
M1,javascript,quick_sort,20000,2.1320475221157076,0.5138408800853222,1.5786642541885376,3.278102084159851
M1,javascript,quick_sort,50000,1.9162026099681853,0.18524483614027326,1.7402388858795166,2.2430143432617182
M1,javascript,quick_sort,100000,2.016565818691254,0.24233613748499758,1.821013719558716,2.6430644121170044
M1,javascript,quick_sort,125000,1.9406400597572326,0.26945918025408155,1.6580566997528077,2.5808325767517095
M1,javascript,quick_sort,250000,2.878156548213959,1.2377406669172268,1.8326599225997924,5.483150865554809
M1,javascript,quick_sort,1000000,4.208467076158524,1.0813396265912478,3.209989309310913,6.551431344032289
M1,javascript,quick_sort,4000000,17.900731720113754,2.6690521821183326,16.20414389801025,25.270856627464294
M1,python,heap_sort,1000,4.160483167552949,0.9013447914426339,3.2845635080337527,6.084595255851745
M1,python,heap_sort,10000,4.286113805198669,0.5720580702658478,3.25972544670105,5.387114214897156
M1,python,heap_sort,20000,4.367748996639252,1.0041763194655395,3.4161519804000853,7.041978115081786
M1,python,heap_sort,50000,4.3852259609222415,0.9483081899135912,3.6333095073699946,6.541355531692505
M1,python,heap_sort,100000,5.582963061857223,0.5364054083459034,4.954946398258208,6.802244831085204
M1,python,heap_sort,125000,4.40708527173996,0.5564887143176318,3.6505564870834344,5.473637756347657
M1,python,heap_sort,250000,9.96539709763527,1.4538289822442516,7.752608260631561,12.366872562408446
M1,python,heap_sort,1000000,52.05088055257797,1.9709171250575959,49.926425926208495,56.7317678565979
M1,python,heap_sort,4000000,259.564536369276,11.051325213482436,249.7790907635689,280.2053193407058
M1,python,merge_sort,1000,3.6564075373649594,1.392073179130604,2.1581806201934817,5.748782684326171
M1,python,merge_sort,10000,4.52965675868988,0.495580172622492,4.045423183441162,5.606414148330688
M1,python,merge_sort,20000,4.664585759449006,0.38019749325306873,4.308230949401855,5.263041501045228
M1,python,merge_sort,50000,4.328474313831329,1.2005854434909895,3.27706546497345,6.711982360839843
M1,python,merge_sort,100000,5.789702352619171,0.9618500108775673,4.2787556419372565,6.828896547317505
M1,python,merge_sort,125000,4.484738882160187,0.20654533218557702,4.280512018203736,4.833411939620971
M1,python,merge_sort,250000,8.934316973781586,0.7356821865231463,8.332378909111021,10.91622758102417
M1,python,merge_sort,1000000,27.47433467674255,0.9417016219232865,26.172597280502316,28.867824813842773
M1,python,merge_sort,4000000,142.14141481504439,10.529188658122944,135.37166002655027,171.6727299461364
M1,python,quick_sort,1000,3.8816982460021974,0.6278819248104061,3.151775268554687,5.058484161376954
M1,python,quick_sort,10000,4.166477952003478,0.4912430491780683,3.5788129329681397,4.977503803253174
M1,python,quick_sort,20000,4.05406811208725,0.8332036206159728,2.9977113990783697,5.987203639030456
M1,python,quick_sort,50000,3.7006187349319455,0.4733117648499856,3.06452912902832,4.742862022399902
M1,python,quick_sort,100000,4.26084557685852,0.8083986297165073,3.6894482650756837,6.4682030630111695
M1,python,quick_sort,125000,3.618240641307831,0.1797210825695553,3.3878982200622563,3.9039998712539674
M1,python,quick_sort,250000,7.807953511285781,2.687229911143136,5.138818408966064,13.121729137420653
M1,python,quick_sort,1000000,19.24114359140396,1.4375706888139865,17.291196524620055,22.29362827587128
M1,python,quick_sort,4000000,102.96609665575026,3.332398968591083,98.89484388637541,109.74186703872681
M2,javascript,heap_sort,1000,1.984786148548126,0.19969962141235786,1.6940551271438598,2.3518424987792965
M2,javascript,heap_sort,10000,2.0359273241043088,0.2563832430299774,1.8217123880386352,2.4539988327026365
M2,javascript,heap_sort,20000,1.9193960549354554,0.13160519795162803,1.8144471445083616,2.2428349828720093
M2,javascript,heap_sort,50000,1.893419245147705,0.27185532418742725,1.7059001932144164,2.437869985580444
M2,javascript,heap_sort,100000,2.1602213983535767,0.5519040659651321,1.8218372554779054,3.5254843311309814
M2,javascript,heap_sort,125000,2.242428809928894,0.6761045901066955,1.6915416526794433,3.741436378479004
M2,javascript,heap_sort,250000,2.662878175258636,1.171838538866382,1.6874647407531738,4.976421621322632
M2,javascript,heap_sort,1000000,3.83115715713501,0.4703118168863361,3.320490752220154,4.758731389045716
M2,javascript,heap_sort,4000000,11.995665798759461,1.2970628388559564,10.741852488517761,14.446609709739686
M2,javascript,merge_sort,1000,1.9834948364257812,0.2524343489842356,1.7906863317489623,2.492220918655395
