device,language,algorithm,size,mean,std
M1,javascript,heap_sort,1000,0.2149,0.002233582075700121
M1,javascript,heap_sort,10000,0.21739999999999998,0.003405877273185279
M1,javascript,heap_sort,20000,0.21949999999999997,0.0017795130420052193
M1,javascript,heap_sort,50000,0.22069999999999998,0.0019465068427541856
M1,javascript,heap_sort,100000,0.2198,0.0028596814119369596
M1,javascript,heap_sort,125000,0.2223,0.0030568684048294173
M1,javascript,heap_sort,250000,0.2182,0.0026583202716502427
M1,javascript,heap_sort,1000000,0.42469999999999997,0.005396500923952653
M1,javascript,heap_sort,4000000,1.4616,0.005561774297230484
M1,javascript,merge_sort,1000,0.21400000000000002,0.0014142135623730911
M1,javascript,merge_sort,10000,0.22199999999999998,0.013800161029656309
M1,javascript,merge_sort,20000,0.22149999999999997,0.002121320343559631
M1,javascript,merge_sort,50000,0.2177,0.004989989979949855
M1,javascript,merge_sort,100000,0.2205,0.0032744804507314085
M1,javascript,merge_sort,125000,0.2203,0.003400980250849247
M1,javascript,merge_sort,250000,0.2198,0.003011090610836321
M1,javascript,merge_sort,1000000,0.42469999999999997,0.00632543366980566
M1,javascript,merge_sort,4000000,1.435,0.011537378866584486
M1,javascript,quick_sort,1000,0.2132,0.0019321835661585925
M1,javascript,quick_sort,10000,0.21610000000000001,0.004012480529547785
M1,javascript,quick_sort,20000,0.22000000000000003,0.001763834207376393
M1,javascript,quick_sort,50000,0.21869999999999998,0.0017029386365926412
M1,javascript,quick_sort,100000,0.2173,0.003093002855909872
M1,javascript,quick_sort,125000,0.22000000000000003,0.0012472191289246478
M1,javascript,quick_sort,250000,0.2594,0.08652193042486077
M1,javascript,quick_sort,1000000,0.46449999999999997,0.08360921001899252
M1,javascript,quick_sort,4000000,1.8032,0.09988749226560412
M1,python,heap_sort,1000,0.41770000000000007,0.0037727090178455718
M1,python,heap_sort,10000,0.422,0.005163977794943214
M1,python,heap_sort,20000,0.4241,0.005173651192984171
M1,python,heap_sort,50000,0.46530000000000005,0.09081489109416166
M1,python,heap_sort,100000,0.6291,0.00672392081386383
M1,python,heap_sort,125000,0.4237,0.005478239782184683
M1,python,heap_sort,250000,1.1285,0.10414439761962987
M1,python,heap_sort,1000000,3.998,0.08750619025722293
M1,python,heap_sort,4000000,16.8631,0.09173809338425207
M1,python,merge_sort,1000,0.2745,0.09926423771373499
M1,python,merge_sort,10000,0.4236,0.003438345855527328
M1,python,merge_sort,20000,0.4253,0.004877385456255104
M1,python,merge_sort,50000,0.46180000000000004,0.08666128188399809
M1,python,merge_sort,100000,0.5721,0.10043953404909842
M1,python,merge_sort,125000,0.42510000000000003,0.0045813632129409676
M1,python,merge_sort,250000,0.8638,0.06778036424937374
M1,python,merge_sort,1000000,2.3411,0.08550302138911033
M1,python,merge_sort,4000000,9.077100000000003,0.10557614419092205
M1,python,quick_sort,1000,0.4175,0.002321398046197337
M1,python,quick_sort,10000,0.422,0.005142416206847142
M1,python,quick_sort,20000,0.4207000000000001,0.002406010991015797
M1,python,quick_sort,50000,0.42469999999999997,0.005207899981971819
M1,python,quick_sort,100000,0.44430000000000003,0.06320873708945975
M1,python,quick_sort,125000,0.4191000000000001,0.003754996671103704
M1,python,quick_sort,250000,0.7802,0.14188555638651562
M1,python,quick_sort,1000000,1.9414000000000002,0.10181486466457952
M1,python,quick_sort,4000000,7.347399999999999,0.09978554782911002
M2,javascript,heap_sort,1000,0.2163,0.006945022198188652
M2,javascript,heap_sort,10000,0.21400000000000002,0.004570436400267362
M2,javascript,heap_sort,20000,0.2137,0.004715223571935197
M2,javascript,heap_sort,50000,0.21230000000000002,0.0032335051500740728
