Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771879290101,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,54.191280364990234,50.1850700378418,56.13438415527344,52.205162048339844,50.423431396484375,47.21322250366211,47.33884048461914,47.83254623413086,47.74140167236328,47.03258514404297,0,50,100,0,0,0,0,0,0,0,13.66663932800293,17179869184,0,9402695680,0
202,1771879290101,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,54.191280364990234,50.1850700378418,56.13438415527344,52.205162048339844,50.423431396484375,47.21322250366211,47.33884048461914,47.83254623413086,47.74140167236328,47.03258514404297,100,100,0,0,0,0,0,0,0,0,13.66663932800293,17179869184,0,9403056128,0
203,1771879290303,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.74606704711914,46.86701965332031,52.78553771972656,48.96875762939453,47.840911865234375,45.59313201904297,45.44049072265625,45.92986297607422,46.04616165161133,45.36243438720703,15.000000953674316,10,52.6315803527832,76.19047546386719,5.263157844543457,4.761904716491699,5,0,0,0,13.66663932800293,17179869184,0,9539960832,0
209,1771879290507,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.74606704711914,46.86701965332031,52.78553771972656,48.96875762939453,47.840911865234375,45.59313201904297,45.44049072265625,45.92986297607422,46.04616165161133,45.36243438720703,25,26.3157901763916,65,47.36842346191406,19.047618865966797,0,0,0,0,0,13.66663932800293,17179869184,0,9532932096,0
209,1771879290717,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.74606704711914,46.86701965332031,52.78553771972656,48.96875762939453,47.840911865234375,45.59313201904297,45.44049072265625,45.92986297607422,46.04616165161133,45.36243438720703,30.000001907348633,23.809524536132813,85.71428680419922,55,28.571430206298828,18.18181800842285,10,5,4.545454502105713,8.69565200805664,13.183120727539063,17179869184,0,9445900288,0
200,1771879290927,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.74606704711914,46.86701965332031,52.78553771972656,48.96875762939453,47.840911865234375,45.59313201904297,45.44049072265625,45.92986297607422,46.04616165161133,45.36243438720703,0,4.761904716491699,36.3636360168457,23.809524536132813,47.619049072265625,4.761904716491699,0,0,0,0,13.183120727539063,17179869184,0,9525854208,0
209,1771879291128,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.74606704711914,46.86701965332031,52.78553771972656,48.96875762939453,47.840911865234375,45.59313201904297,45.44049072265625,45.92986297607422,46.04616165161133,45.36243438720703,5,5,50,50,0,0,0,0,0,0,13.183120727539063,17179869184,0,9507110912,0
209,1771879291338,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,50.070579528808594,47.43757629394531,57.03992462158203,53.50428771972656,51.07952117919922,47.897735595703125,46.622623443603516,47.98817443847656,46.49584197998047,46.25359344482422,28.571430206298828,33.333335876464844,85,38.095237731933594,42.85714340209961,20,14.285715103149414,9.090909004211426,4.761904716491699,0,13.183120727539063,17179869184,0,9207791616,0
209,1771879291548,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,50.070579528808594,47.43757629394531,57.03992462158203,53.50428771972656,51.07952117919922,47.897735595703125,46.622623443603516,47.98817443847656,46.49584197998047,46.25359344482422,4.761904716491699,20,59.09090805053711,40,47.619049072265625,23.809524536132813,9.523809432983398,0,0,0,13.183120727539063,17179869184,0,9207791616,0
205,1771879291757,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,50.070579528808594,47.43757629394531,57.03992462158203,53.50428771972656,51.07952117919922,47.897735595703125,46.622623443603516,47.98817443847656,46.49584197998047,46.25359344482422,30.000001907348633,22.72727394104004,57.894737243652344,52.38095474243164,33.333335876464844,18.18181800842285,5,0,0,0,14.985241889953613,17179869184,0,9541091328,0
10,1771879291963,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,50.070579528808594,47.43757629394531,57.03992462158203,53.50428771972656,51.07952117919922,47.897735595703125,46.622623443603516,47.98817443847656,46.49584197998047,46.25359344482422,35,15.000000953674316,45,14.285715103149414,0,0,0,0,0,0,14.985241889953613,17179869184,0,8815165440,0
