Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772103377598,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,0,NaN,50,0,0,0,0,NaN,0,0,8.078390121459961,17179869184,2147483648,9909764096,1210974208
204,1772103377599,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,NaN,0,0,0,0,0,0,50,100,0,8.078390121459961,17179869184,2147483648,9908764672,1210974208
204,1772103377804,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,9.523809432983398,9.523809432983398,4.761904716491699,5,0,0,0,4.761904716491699,61.904762268066406,31.57894515991211,8.103285789489746,17179869184,2147483648,9928507392,1210974208
204,1772103378009,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,55,50,50,52.38095474243164,0,0,0,0,78.94737243652344,23.809524536132813,8.103285789489746,17179869184,2147483648,9928507392,1210974208
201,1772103378214,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,50,55,35,35,0,0,4.761904716491699,60.000003814697266,19.047618865966797,52.38095474243164,8.103285789489746,17179869184,2147483648,9929015296,1210974208
204,1772103378416,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,0,5,0,0,0,0,0,90,0,10,8.103285789489746,17179869184,2147483648,9919660032,1210974208
200,1772103378621,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,47.619049072265625,19.047618865966797,23.809524536132813,14.285715103149414,0,0,0,100,0,0,8.103285789489746,17179869184,2147483648,9920299008,1210974208
204,1772103378821,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,25,15.000000953674316,15.789472579956055,15.789472579956055,0,0,0,100,9.523809432983398,0,13.424463272094727,17179869184,2147483648,9920299008,1210974208
204,1772103379026,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,25,20,14.285715103149414,22.72727394104004,23.809524536132813,4.761904716491699,0,68.42105102539063,42.105262756347656,28.571430206298828,13.424463272094727,17179869184,2147483648,9920299008,1210974208
200,1772103379231,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,38.095237731933594,35,38.095237731933594,35,14.285715103149414,0,0,90.47618865966797,14.285715103149414,9.523809432983398,13.424463272094727,17179869184,2147483648,9936961536,1210974208
204,1772103379432,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,10,14.285715103149414,0,5,0,0,0,70,10,15.000000953674316,13.424463272094727,17179869184,2147483648,9943056384,1210974208
204,1772103379637,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,0,10,4.761904716491699,9.523809432983398,4.761904716491699,0,0,95,0,0,13.424463272094727,17179869184,2147483648,9943105536,1210974208
204,1772103379842,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,14.285715103149414,5,5,5,0,0,0,100,0,0,19.09552001953125,17179869184,2147483648,9943318528,1210974208
199,1772103380047,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,10,10,4.761904716491699,10,0,0,0,100,0,0,19.09552001953125,17179869184,2147483648,9943285760,1210974208
201,1772103380247,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,14.285715103149414,9.523809432983398,5.263157844543457,0,0,0,0,0,100,5,19.09552001953125,17179869184,2147483648,9949593600,1210974208
