Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771885954407,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,0,0,0,0,0,0,0,0,0,0,10.808891296386719,17179869184,3221225472,9295872000,2136276992
202,1771885954407,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,100,NaN,NaN,0,100,NaN,NaN,NaN,NaN,0,10.808891296386719,17179869184,3221225472,9296117760,2136276992
209,1771885954609,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,0,4.761904716491699,0,5,42.85714340209961,0,57.142860412597656,0,0,0,10.808891296386719,17179869184,3221225472,9329229824,2136276992
207,1771885954818,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,60.000003814697266,57.142860412597656,50,45.45454788208008,15.000000953674316,33.333335876464844,42.85714340209961,0,4.761904716491699,0,10.808891296386719,17179869184,3221225472,9369239552,2136276992
209,1771885955026,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,66.66667175292969,35,40.90909194946289,25,71.42857360839844,28.571430206298828,33.333335876464844,0,0,0,8.266871452331543,17179869184,3221225472,9428238336,2136276992
209,1771885955236,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,5,5,0,0,0,0,100,0,4.545454502105713,0,8.266871452331543,17179869184,3221225472,9417621504,2136276992
209,1771885955446,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,27.272727966308594,23.809524536132813,33.333335876464844,18.18181800842285,9.523809432983398,0,85.71428680419922,9.523809432983398,0,0,8.266871452331543,17179869184,3221225472,9417621504,2136276992
209,1771885955656,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,51.592071533203125,54.669219970703125,50.40319061279297,49.76325988769531,61.459590911865234,53.9660758972168,49.82708740234375,51.52944564819336,14.285715103149414,13.636363983154297,14.285715103149414,9.523809432983398,100,4.761904716491699,4.761904716491699,0,0,0,8.266871452331543,17179869184,3221225472,9417621504,2136276992
209,1771885955866,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,51.592071533203125,54.669219970703125,50.40319061279297,49.76325988769531,61.459590911865234,53.9660758972168,49.82708740234375,51.52944564819336,25,19.047618865966797,10,10,100,23.809524536132813,25,10,4.761904716491699,0,8.266871452331543,17179869184,3221225472,9417621504,2136276992
209,1771885956076,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,51.592071533203125,54.669219970703125,50.40319061279297,49.76325988769531,61.459590911865234,53.9660758972168,49.82708740234375,51.52944564819336,13.636363983154297,14.285715103149414,18.18181800842285,9.523809432983398,73.91304016113281,14.285715103149414,4.545454502105713,22.72727394104004,0,4.545454502105713,14.372477531433105,17179869184,3221225472,9419603968,2136276992
