Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771497023106,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,66.66667175292969,0,0,0,0,0,0,0,0,0,8.181352615356445,17179869184,0,10301734912,0
204,1771497023106,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,NaN,100,NaN,50,0,66.66667175292969,0,0,0,0,8.181352615356445,17179869184,0,10290167808,0
204,1771497023311,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,52.38095474243164,42.105262756347656,50,40,55,95,40,9.090909004211426,5,0,8.214740753173828,17179869184,0,10344103936,0
204,1771497023516,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,75,71.42857360839844,63.6363639831543,61.904762268066406,85.71428680419922,9.523809432983398,9.523809432983398,0,0,0,8.214740753173828,17179869184,0,10367172608,0
204,1771497023721,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,61.904762268066406,52.38095474243164,50,45,26.3157901763916,80,14.285715103149414,5,5,0,8.214740753173828,17179869184,0,10408017920,0
204,1771497023926,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,20,10,15.000000953674316,10,95.45454406738281,5,0,0,0,0,8.214740753173828,17179869184,0,10486841344,0
204,1771497024131,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,28.571430206298828,25,14.285715103149414,15.000000953674316,70,0,30.000001907348633,0,0,0,8.214740753173828,17179869184,0,10488561664,0
204,1771497024336,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,15.000000953674316,14.285715103149414,10,9.523809432983398,0,0,100,0,0,0,9.56969165802002,17179869184,0,10492002304,0
200,1771497024541,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,23.809524536132813,23.809524536132813,4.761904716491699,14.285715103149414,38.095237731933594,38.095237731933594,71.42857360839844,15.789472579956055,5,0,9.56969165802002,17179869184,0,10483761152,0
204,1771497024742,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,21.052631378173828,26.3157901763916,20,15.000000953674316,61.11111068725586,47.36842346191406,31.57894515991211,23.809524536132813,5,4.761904716491699,9.56969165802002,17179869184,0,10486857728,0
