Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772102108948,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,NaN,0,0,0,0,0,0,0,0,0,11.634150505065918,17179869184,2147483648,9399271424,1210974208
204,1772102108948,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,0,NaN,NaN,NaN,NaN,0,0,0,NaN,0,11.634150505065918,17179869184,2147483648,9399271424,1210974208
204,1772102109153,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,33.333335876464844,27.272727966308594,23.809524536132813,15.000000953674316,95.23809814453125,9.523809432983398,0,0,0,0,11.634150505065918,17179869184,2147483648,9399271424,1210974208
204,1772102109358,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,65,66.66667175292969,66.66667175292969,57.142860412597656,95.23809814453125,0,0,0,5,0,11.634150505065918,17179869184,2147483648,9399271424,1210974208
204,1772102109563,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,70,63.15789031982422,71.42857360839844,60.000003814697266,80,23.809524536132813,19.047618865966797,0,0,0,11.634150505065918,17179869184,2147483648,9491021824,1210974208
204,1772102109768,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,42.85714340209961,40,35,30.000001907348633,0,100,0,0,0,0,12.734915733337402,17179869184,2147483648,9520660480,1210974208
204,1772102109973,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,60.000003814697266,57.142860412597656,55,52.38095474243164,0,100,0,0,0,0,12.734915733337402,17179869184,2147483648,9520709632,1210974208
204,1772102110178,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,6.699999809265137,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,4.632999897003174,4.632999897003174,6.699999809265137,30.000001907348633,30.000001907348633,25,15.789472579956055,66.66667175292969,35,0,0,0,0,12.734915733337402,17179869184,2147483648,9521528832,1210974208
204,1772102110383,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,52.90597915649414,51.318233489990234,46.21030807495117,47.44023895263672,41.64888000488281,39.110198974609375,38.986717224121094,41.23934555053711,33.333335876464844,30.000001907348633,23.809524536132813,23.809524536132813,95,0,0,5,0,0,12.734915733337402,17179869184,2147483648,9553412096,1210974208
204,1772102110588,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,52.90597915649414,51.318233489990234,46.21030807495117,47.44023895263672,41.64888000488281,39.110198974609375,38.986717224121094,41.23934555053711,26.3157901763916,35,21.052631378173828,23.809524536132813,95.23809814453125,9.090909004211426,0,5,0,0,12.734915733337402,17179869184,2147483648,9572352000,1210974208
204,1772102110793,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,52.90597915649414,51.318233489990234,46.21030807495117,47.44023895263672,41.64888000488281,39.110198974609375,38.986717224121094,41.23934555053711,33.333335876464844,23.809524536132813,23.809524536132813,15.000000953674316,45,15.789472579956055,10,42.85714340209961,10,5,21.92055892944336,17179869184,2147483648,9594896384,1210974208
204,1772102110998,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,52.90597915649414,51.318233489990234,46.21030807495117,47.44023895263672,41.64888000488281,39.110198974609375,38.986717224121094,41.23934555053711,38.095237731933594,30.000001907348633,30.000001907348633,28.571430206298828,85,9.090909004211426,0,4.761904716491699,14.285715103149414,0,21.92055892944336,17179869184,2147483648,9594945536,1210974208
200,1772102111203,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,52.90597915649414,51.318233489990234,46.21030807495117,47.44023895263672,41.64888000488281,39.110198974609375,38.986717224121094,41.23934555053711,25,25,15.000000953674316,15.000000953674316,100,0,0,0,0,0,21.92055892944336,17179869184,2147483648,9601433600,1210974208
204,1772102111404,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,45.12930679321289,57.50604248046875,48.50961685180664,44.15794372558594,41.86436462402344,39.422481536865234,39.44853973388672,41.59146499633789,21.052631378173828,19.047618865966797,19.047618865966797,10.526315689086914,50,25,10,28.571430206298828,5.263157844543457,0,21.92055892944336,17179869184,2147483648,9642622976,1210974208
204,1772102111609,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,45.12930679321289,57.50604248046875,48.50961685180664,44.15794372558594,41.86436462402344,39.422481536865234,39.44853973388672,41.59146499633789,25,15.789472579956055,20,14.285715103149414,76.19047546386719,5,5,15.000000953674316,4.761904716491699,0,21.92055892944336,17179869184,2147483648,9641345024,1210974208
204,1772102111814,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,45.12930679321289,57.50604248046875,48.50961685180664,44.15794372558594,41.86436462402344,39.422481536865234,39.44853973388672,41.59146499633789,31.81818199157715,25,20,15.000000953674316,100,0,4.545454502105713,0,0,0,21.818159103393555,17179869184,2147483648,9646735360,1210974208
204,1772102112019,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,45.12930679321289,57.50604248046875,48.50961685180664,44.15794372558594,41.86436462402344,39.422481536865234,39.44853973388672,41.59146499633789,26.3157901763916,28.571430206298828,20,25,100,0,0,0,0,0,21.818159103393555,17179869184,2147483648,9654206464,1210974208
204,1772102112224,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,47.692874908447266,56.3873291015625,48.59907531738281,45.52274703979492,42.370513916015625,39.85647201538086,39.95174026489258,41.866798400878906,25,20,19.047618865966797,14.285715103149414,40,65,4.761904716491699,0,0,0,21.818159103393555,17179869184,2147483648,9655648256,1210974208
204,1772102112429,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,47.692874908447266,56.3873291015625,48.59907531738281,45.52274703979492,42.370513916015625,39.85647201538086,39.95174026489258,41.866798400878906,23.809524536132813,22.72727394104004,20,15.000000953674316,65,33.333335876464844,0,0,0,0,21.818159103393555,17179869184,2147483648,9625927680,1210974208
204,1772102112634,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,47.692874908447266,56.3873291015625,48.59907531738281,45.52274703979492,42.370513916015625,39.85647201538086,39.95174026489258,41.866798400878906,30.000001907348633,21.052631378173828,20,15.000000953674316,100,0,0,0,0,0,21.818159103393555,17179869184,2147483648,9620815872,1210974208
204,1772102112839,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,47.692874908447266,56.3873291015625,48.59907531738281,45.52274703979492,42.370513916015625,39.85647201538086,39.95174026489258,41.866798400878906,33.333335876464844,30.000001907348633,20,23.809524536132813,65,4.761904716491699,30.000001907348633,0,0,0,21.267892837524414,17179869184,2147483648,9647636480,1210974208
204,1772102113044,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,47.692874908447266,56.3873291015625,48.59907531738281,45.52274703979492,42.370513916015625,39.85647201538086,39.95174026489258,41.866798400878906,30.000001907348633,30.000001907348633,25,15.789472579956055,0,0,85,15.000000953674316,0,0,21.267892837524414,17179869184,2147483648,9627320320,1210974208
204,1772102113249,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,45.042808532714844,51.43665313720703,45.50248718261719,43.3838005065918,46.684974670410156,42.39231491088867,40.98265075683594,42.76454544067383,25,23.809524536132813,22.72727394104004,18.18181800842285,0,0,0,100,4.761904716491699,0,21.267892837524414,17179869184,2147483648,9627320320,1210974208
204,1772102113454,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,45.042808532714844,51.43665313720703,45.50248718261719,43.3838005065918,46.684974670410156,42.39231491088867,40.98265075683594,42.76454544067383,26.3157901763916,23.809524536132813,15.789472579956055,10.526315689086914,0,0,0,100,0,0,21.267892837524414,17179869184,2147483648,9627320320,1210974208
204,1772102113659,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,45.042808532714844,51.43665313720703,45.50248718261719,43.3838005065918,46.684974670410156,42.39231491088867,40.98265075683594,42.76454544067383,28.571430206298828,21.052631378173828,23.809524536132813,19.047618865966797,0,0,0,100,0,0,21.267892837524414,17179869184,2147483648,9639460864,1210974208
204,1772102113864,3504,3504,3504,3504,3504,3504,3504,3504,3504,3504,45.042808532714844,51.43665313720703,45.50248718261719,43.3838005065918,46.684974670410156,42.39231491088867,40.98265075683594,42.76454544067383,28.571430206298828,25,23.809524536132813,14.285715103149414,0,0,0,100,0,0,21.16546058654785,17179869184,2147483648,9640919040,1210974208
